year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2007,Manual count,1421,1848,30050,1238,7270,1651,42057,6075
2006,Estimated using AADF from previous year on this link,1125,1924,26954,1330,6101,1281,37590,6075
2005,Estimated using AADF from previous year on this link,867,1769,25954,1218,5755,1333,36029,6075
2004,Estimated using AADF from previous year on this link,671,1774,26484,1254,5727,1307,36546,6075
2003,Estimated using AADF from previous year on this link,634,1688,29459,1152,5475,1147,38921,6075
2002,Estimated using AADF from previous year on this link,543,1620,30496,953,5126,1252,39447,6075
2001,Estimated using AADF from previous year on this link,533,1728,32305,829,5500,1397,41759,6075
2000,Manual count,468,1553,33065,833,5382,1379,42212,6075
2024,Manual count,70,2069,74142,660,20133,3483,100486,6076
2023,Estimated using AADF from previous year on this link,121,2326,80693,620,20182,5011,108833,6076
2022,Manual count,118,2293,80862,615,19832,5104,108705,6076
2021,Manual count,119,1964,78750,561,20535,5338,107148,6076
2020,Manual count,126,1604,76068,238,20645,5515,104069,6076
2019,Estimated using AADF from previous year on this link,71,2215,90504,406,19719,5105,117949,6076
2018,Estimated using AADF from previous year on this link,76,2100,90269,409,19728,5129,117633,6076
2017,Manual count,77,2084,90348,425,19333,5267,117456,6076
2016,Estimated using AADF from previous year on this link,100,2054,88441,444,18016,7165,116119,6076
2015,Manual count,96,1914,90305,420,17467,6948,117054,6076
2014,Manual count,114,1780,85682,454,17336,7404,112656,6076
2013,Manual count,110,1196,78502,450,15577,5135,100861,6076
2012,Manual count,6,1944,76883,589,15354,5283,100053,6076
2011,Manual count,0,1154,47991,339,10087,7129,66700,6076
2010,Manual count,55,1168,74977,262,19962,3797,100166,6076
2009,Estimated using AADF from previous year on this link,118,1416,66579,491,16868,4256,89610,6076
2008,Estimated using AADF from previous year on this link,109,1498,67115,465,17318,4662,91058,6076
2007,Estimated using AADF from previous year on this link,93,1538,68695,457,17690,4850,93230,6076
2006,Manual count,72,1568,69741,456,17309,4356,93430,6076
2005,Estimated using AADF from previous year on this link,47,1233,75590,408,10924,3594,91749,6076
2004,Estimated using AADF from previous year on this link,47,1342,76431,382,10700,3646,92501,6076
2003,Estimated using AADF from previous year on this link,54,1406,75525,334,11298,3362,91925,6076
2002,Manual count,37,1359,77066,290,10262,3515,92492,6076
2001,Estimated using AADF from previous year on this link,35,1420,77066,265,10061,3781,92593,6076
2000,Estimated using AADF from previous year on this link,31,1314,76989,248,10031,3907,92489,6076
2024,Automatic counter,78,619,49454,286,11697,2706,64761,6077
2023,Manual count,82,599,46813,274,11013,2599,61298,6077
2022,Automatic counter,81,639,43769,229,11533,2635,58806,6077
2021,Manual count,83,641,45356,239,11504,2849,60589,6077
2020,Automatic counter,18,690,40361,239,10781,3158,55229,6077
2019,Manual count,14,809,48356,326,11124,3103,63718,6077
2018,Automatic counter,50,1167,49554,438,11558,2337,65055,6077
2017,Manual count,40,1134,47413,442,10503,2182,61674,6077
2016,Estimated using AADF from previous year on this link,45,806,45237,414,10069,3273,59798,6077
2015,Manual count,45,805,44682,419,9324,3119,58350,6077
2014,Manual count,104,712,43928,518,8627,3081,56866,6077
2013,Manual count,0,522,47695,479,7661,4509,60867,6077
2012,Manual count,0,732,47743,425,8300,3452,60653,6077
2011,Manual count,1,711,49575,458,6994,3054,60792,6077
2010,Manual count,12,625,55364,401,6899,2932,66221,6077
2009,Manual count,2,1057,39494,455,6693,2559,50258,6077
2008,Manual count,0,659,48692,389,7794,2927,60461,6077
2007,Estimated using AADF from previous year on this link,45,1095,45473,629,9288,2245,58730,6077
2006,Manual count,45,1089,45793,667,8383,2216,58148,6077
2005,Estimated using AADF from previous year on this link,34,805,42119,316,5997,1922,51159,6077
2004,Manual count,34,838,42416,330,5734,1936,51254,6077
2003,Estimated using AADF from previous year on this link,16,953,34936,317,5898,2044,44148,6077
2002,Manual count,19,878,34183,321,5328,1948,42658,6077
2001,Manual count,21,1151,44992,431,7039,2341,55954,6077
2000,Manual count,54,940,40906,389,5788,1854,49877,6077
2024,Manual count,10,79,12056,113,1834,1123,15205,6078
2023,Estimated using AADF from previous year on this link,20,107,13803,46,2167,1529,17651,6078
2022,Estimated using AADF from previous year on this link,21,108,13548,45,2130,1563,17395,6078
2021,Estimated using AADF from previous year on this link,23,99,12685,42,1965,1516,16307,6078
2020,Estimated using AADF from previous year on this link,28,94,11514,41,1803,1416,14867,6078
2019,Estimated using AADF from previous year on this link,25,127,15158,65,2043,1611,19003,6078
2018,Manual count,22,135,14970,64,2061,1592,18822,6078
2017,Estimated using AADF from previous year on this link,12,150,16913,113,2994,2343,22514,6078
2016,Estimated using AADF from previous year on this link,13,148,17039,122,2844,2295,22448,6078
2015,Estimated using AADF from previous year on this link,13,152,16777,131,2604,2322,21985,6078
2014,Estimated using AADF from previous year on this link,14,149,17091,132,2475,2308,22155,6078
2013,Manual count,15,140,17270,125,2174,2148,21856,6078
2012,Estimated using AADF from previous year on this link,27,100,14529,41,2036,1053,17759,6078
2011,Estimated using AADF from previous year on this link,29,105,14759,38,2012,1064,17978,6078
2010,Estimated using AADF from previous year on this link,26,125,14803,40,1803,1030,17801,6078
2009,Estimated using AADF from previous year on this link,26,131,14893,36,1688,1004,17752,6078
2008,Estimated using AADF from previous year on this link,26,117,14572,36,1663,1093,17481,6078
2007,Estimated using AADF from previous year on this link,23,123,14900,40,1628,1117,17808,6078
2006,Estimated using AADF from previous year on this link,37,128,15142,44,1546,1218,18078,6078
2005,Manual count,24,148,15436,48,1524,1336,18492,6078
2004,Estimated using AADF from previous year on this link,17,127,10892,217,1883,1250,14369,6078
2003,Estimated using AADF from previous year on this link,20,194,10752,266,1710,1060,13982,6078
2002,Estimated using AADF from previous year on this link,23,136,11165,273,1575,1049,14198,6078
2001,Estimated using AADF from previous year on this link,22,131,10989,271,1470,1067,13928,6078
2000,Estimated using AADF from previous year on this link,23,125,11341,259,1460,1125,14310,6078
2024,Manual count,4,108,21765,57,5028,2527,29486,6079
2023,Estimated using AADF from previous year on this link,9,147,21042,67,5553,2415,29225,6079
2022,Manual count,9,153,20809,67,5434,2535,28997,6079
2021,Estimated using AADF from previous year on this link,8,185,20343,40,5620,2712,28900,6079
2020,Manual count,10,173,18071,40,4785,2510,25579,6079
2019,Estimated using AADF from previous year on this link,22,120,23880,117,4909,2891,31916,6079
2018,Manual count,19,121,23094,116,4918,2820,31069,6079
2017,Estimated using AADF from previous year on this link,6,218,25498,152,7149,2967,35984,6079
2016,Estimated using AADF from previous year on this link,7,216,25509,148,6711,2873,35457,6079
2015,Estimated using AADF from previous year on this link,6,208,24768,145,6214,2797,34132,6079
2014,Estimated using AADF from previous year on this link,6,204,25231,147,5908,2792,34282,6079
2013,Estimated using AADF from previous year on this link,6,192,25495,138,5188,2627,33641,6079
2012,Manual count,6,192,25640,147,5130,2711,33820,6079
2011,Estimated using AADF from previous year on this link,39,112,24538,101,4844,2628,32223,6079
2010,Estimated using AADF from previous year on this link,36,106,24661,101,4699,2651,32218,6079
2009,Estimated using AADF from previous year on this link,36,115,25190,96,4676,2801,32878,6079
2008,Manual count,36,121,25599,98,4317,2945,33080,6079
2007,Manual count,1,216,26986,154,5007,3397,35760,6079
2006,Manual count,25,196,27206,134,3935,3749,35220,6079
2005,Manual count,9,137,24325,140,3797,3337,31736,6079
2004,Manual count,6,267,22703,154,4004,2925,30053,6079
2003,Manual count,12,271,22598,105,3854,2996,29824,6079
2002,Manual count,4,189,23266,89,3907,2808,30259,6079
2001,Manual count,12,246,25196,152,3810,3520,32924,6079
2000,Manual count,5,159,22764,116,3393,2845,29277,6079
2019,Manual count,0,208,33531,96,7927,6840,48601,6081
2018,Estimated using AADF from previous year on this link,0,136,32279,99,7537,8006,48056,6081
2017,Manual count,0,129,32389,103,7197,7911,47729,6081
2016,Estimated using AADF from previous year on this link,0,215,35428,166,6683,5642,48134,6081
2015,Estimated using AADF from previous year on this link,0,207,34399,163,6188,5531,46487,6081
2014,Manual count,0,200,33392,166,5567,5260,44584,6081
2013,Estimated using AADF from previous year on this link,0,124,25031,59,4790,5500,35504,6081
2012,Manual count,0,118,25334,57,4512,5437,35457,6081
2011,Estimated using AADF from previous year on this link,0,185,27375,86,4696,6373,38715,6081
2010,Manual count,0,188,27540,86,4590,6443,38847,6081
2009,Estimated using AADF from previous year on this link,0,210,35023,121,5535,6105,46994,6081
2008,Manual count,0,201,35484,116,5359,6635,47795,6081
2007,Manual count,0,217,27903,137,4564,7314,40135,6081
2006,Manual count,0,139,27594,151,4232,7461,39577,6081
2005,Manual count,0,239,25158,180,3852,6675,36104,6081
2004,Manual count,2,85,26910,143,4040,6790,37968,6081
2003,Manual count,0,255,29623,223,3612,6973,40686,6081
2002,Manual count,1,133,27068,136,3585,6949,37871,6081
2001,Manual count,0,209,26964,135,3925,6358,37591,6081
2000,Manual count,0,156,25418,152,3443,6584,35753,6081
2024,Manual count,0,137,26016,31,8299,8044,42528,6082
2023,Manual count,0,135,26069,49,8229,7785,42267,6082
2022,Manual count,0,105,26881,58,6962,8418,42424,6082
2021,Manual count,0,122,24525,58,7910,8072,40686,6082
2020,Manual count,0,23,12120,13,7385,8016,27557,6082
2019,Manual count,0,122,31133,91,7433,8617,47395,6082
2018,Estimated using AADF from previous year on this link,0,125,26269,90,6924,7650,41057,6082
2017,Estimated using AADF from previous year on this link,0,119,26358,93,6612,7564,40746,6082
2016,Estimated using AADF from previous year on this link,0,118,26369,90,6207,7338,40123,6082
2015,Manual count,0,114,25603,89,5747,7141,38693,6082
2014,Estimated using AADF from previous year on this link,1,112,21696,67,3839,6539,32252,6082
2013,Manual count,2,102,21751,64,3687,6642,32246,6082
2012,Estimated using AADF from previous year on this link,0,156,26621,114,4365,6906,38160,6082
2011,Manual count,0,168,26834,110,4220,6835,38167,6082
2010,Estimated using AADF from previous year on this link,0,122,23548,75,4862,5904,34511,6082
2009,Manual count,0,135,23882,73,4716,6155,34961,6082
2008,Estimated using AADF from previous year on this link,0,110,20902,69,3874,7458,32413,6082
2007,Estimated using AADF from previous year on this link,0,105,21593,66,3732,7653,33149,6082
2006,Manual count,0,101,21422,60,3294,7266,32143,6082
2005,Estimated using AADF from previous year on this link,0,170,26005,85,4529,6890,37679,6082
2004,Estimated using AADF from previous year on this link,0,192,25850,84,4376,7075,37577,6082
2003,Estimated using AADF from previous year on this link,0,171,25825,99,4148,6971,37214,6082
2002,Manual count,0,158,25493,110,3697,7020,36478,6082
2001,Manual count,2,166,21229,57,3614,7294,32360,6082
2000,Estimated using AADF from previous year on this link,0,96,22885,78,2901,6445,32405,6082
2010,Manual count,0,121,25014,99,4903,4732,34869,6083
2009,Estimated using AADF from previous year on this link,0,116,21511,63,3932,5853,31475,6083
2008,Manual count,0,115,21576,61,3939,6366,32057,6083
2007,Estimated using AADF from previous year on this link,0,210,23001,107,4595,7655,35568,6083
2006,Manual count,0,204,22818,99,4055,7299,34475,6083
2005,Estimated using AADF from previous year on this link,0,112,18739,42,3198,6038,28129,6083
2004,Manual count,0,127,18628,41,3090,6256,28142,6083
2003,Estimated using AADF from previous year on this link,1,171,21406,62,4029,5246,30914,6083
2002,Manual count,1,158,21131,69,3591,5263,30212,6083
2001,Estimated using AADF from previous year on this link,0,122,26118,96,3494,6492,36322,6083
2000,Manual count,0,118,25041,89,3453,6674,35375,6083
2004,Manual count,0,117,21958,56,3771,7314,33216,6084
2003,Manual count,0,175,26266,141,4130,6683,37395,6084
2002,Manual count,2,147,23062,121,3567,6280,33177,6084
2001,Manual count,3,82,22262,98,3675,6884,33001,6084
2000,Manual count,0,97,21867,122,3347,6601,32034,6084
2024,Manual count,0,155,27562,56,8778,8253,44803,6085
2023,Automatic counter,1,130,26630,69,9676,9138,45644,6085
2022,Manual count,1,129,25328,67,9039,9012,43575,6085
2021,Automatic counter,0,87,22482,55,9617,9792,42033,6085
2020,Manual count,0,76,19929,45,8135,8830,37015,6085
2019,Automatic counter,0,169,33661,128,8351,10157,52466,6085
2018,Automatic counter,0,159,31874,128,7987,9699,49847,6085
2017,Automatic counter,0,153,32246,133,7689,9666,49887,6085
2016,Estimated using AADF from previous year on this link,0,148,31267,126,7009,9108,47658,6085
2015,Manual count,0,142,30358,123,6490,8862,45976,6085
2014,Estimated using AADF from previous year on this link,3,151,24635,185,5658,7664,38293,6085
2013,Manual count,4,146,24081,164,5272,7493,37155,6085
2012,Manual count,0,60,23823,112,4258,7523,35776,6085
2011,Manual count,2,282,34575,292,6249,7564,48962,6085
2010,Estimated using AADF from previous year on this link,2,302,35195,99,5466,7445,48507,6085
2009,Manual count,2,341,36060,93,5328,7405,49227,6085
2008,Estimated using AADF from previous year on this link,1,93,30560,139,5662,7771,44225,6085
2007,Estimated using AADF from previous year on this link,1,96,30775,137,5651,7829,44488,6085
2006,Manual count,1,94,30992,144,5100,7867,44197,6085
2005,Estimated using AADF from previous year on this link,0,131,27184,93,5563,7692,40663,6085
2004,Estimated using AADF from previous year on this link,0,136,27375,97,5317,7783,40708,6085
2003,Estimated using AADF from previous year on this link,0,135,26917,116,4778,7601,39547,6085
2002,Manual count,0,124,26338,118,4316,7527,38423,6085
2001,Estimated using AADF from previous year on this link,0,88,25924,141,4104,7747,38004,6085
2000,Manual count,0,80,25145,137,3887,7827,37076,6085
2024,Manual count,0,227,57781,184,17276,15470,90939,6088
2023,Manual count,0,148,58303,179,15989,15832,90451,6088
2022,Manual count,0,220,59537,181,15243,15819,91000,6088
2021,Manual count,0,108,42916,36,13738,17384,74183,6088
2020,Estimated using AADF from previous year on this link,0,69,38601,114,10914,15382,65081,6088
2019,Manual count,0,125,59748,212,13150,16964,90199,6088
2018,Automatic counter,0,140,53139,214,12633,14035,80162,6088
2017,Manual count,0,151,57269,228,13089,14815,85552,6088
2016,Estimated using AADF from previous year on this link,0,165,51765,218,10866,15464,78477,6088
2015,Manual count,0,163,51346,222,10232,15326,77289,6088
